"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2025-01-01",1,21036,26215,19918,5405,6606,0,18720,0,859,6353,-1518,-1026,1,-232,-386,-558,96,0,241,0
"2025-01-01",2,21222,26063,20167,5358,6606,0,18720,0,735,6333,-1513,-1023,1,-124,-282,-564,51,0,262,0
"2025-01-01",3,21385,25734,20328,5237,6606,0,18720,0,691,6380,-1428,-922,1,-119,-384,-205,62,0,414,0
"2025-01-01",4,20473,24988,19460,5115,6606,0,18720,0,931,6250,-1423,-915,0,-119,-334,-193,37,0,423,0
"2025-01-01",5,19634,24912,18654,5080,6606,0,18720,0,854,6142,-1539,-899,0,-119,-363,-622,-282,0,288,0
"2025-01-01",6,19214,24562,18248,5044,6606,0,18720,0,880,6338,-1543,-899,1,-119,-345,-640,-322,0,273,0
"2025-01-01",7,18874,24258,17855,4972,6606,0,18720,0,777,6549,-1467,-924,0,-119,-390,-777,-330,0,147,0
"2025-01-01",8,18448,24015,17367,4900,6606,0,18720,0,914,6540,-1465,-928,0,-119,-413,-782,-346,0,127,0
"2025-01-01",9,17844,24100,16774,4815,6606,0,18720,0,914,6586,-1541,-1021,1,-119,-412,-855,-538,0,-256,0
"2025-01-01",10,17545,23924,16489,4730,6606,0,18720,0,901,6263,-1546,-1027,1,-119,-465,-858,-581,0,-282,0
"2025-01-01",11,17383,23985,16289,4594,6606,0,18720,0,910,6011,-1546,-1026,1,-119,-498,-793,-826,0,-284,0
"2025-01-01",12,17609,24064,16498,4457,6606,0,18720,0,903,5999,-1546,-1026,1,-119,-358,-788,-832,0,-283,0
"2025-01-01",13,18620,24067,17411,4314,6606,0,18720,0,898,5977,-1546,-1028,0,-119,-207,-349,-531,0,-169,0
"2025-01-01",14,18757,23989,17485,4171,6606,0,18720,0,898,5861,-1545,-1013,0,-119,-89,-327,-490,0,-151,0
"2025-01-01",15,19371,23563,18095,4254,6606,0,18720,0,900,5384,-1478,-460,1,-119,-189,133,-446,0,192,0
"2025-01-01",16,19466,23572,18171,4336,6606,0,18720,0,889,4989,-1467,-423,0,-119,-198,154,-410,0,217,0
"2025-01-01",17,20047,23638,18688,4600,6606,0,18720,0,887,4826,-1144,-474,1,-121,-333,437,-32,0,260,0
"2025-01-01",18,20771,24373,19399,4864,6606,1,18720,0,804,5254,-1107,-463,1,-220,-408,447,45,0,281,0
"2025-01-01",19,22290,25010,20754,4849,6606,29,18720,0,875,5440,-425,74,1,-300,-520,167,419,0,897,0
"2025-01-01",20,23225,25784,21697,4833,6606,115,18720,0,754,5528,-375,122,0,-300,-530,163,495,0,938,0
"2025-01-01",21,24685,26796,23023,4715,6606,220,18720,0,680,5158,53,507,0,-300,-531,710,867,0,885,0
"2025-01-01",22,25327,27582,23550,4597,6606,320,18720,0,755,4961,121,545,0,-369,-531,736,943,0,883,0
